LOCATION_ADDRESS,Latitude,Longitude,YEAR
"100 Lippincott St, Toronto, ON, M5S 2P1",43.6576786,-79.40705609999999,2021
"101 Ontario St, Toronto, ON, M5A 2V2",43.6545597,-79.3665735,2021
"101 Placer Ct, Toronto, ON, M2H 3H9",43.8020246,-79.341403,2021
"1059 College Street, Toronto, ON, M6H 1B1",43.652684,-79.4308073,2021
"107 Jarvis St, Toronto, ON, M5C 2H4",43.6523669,-79.3722725,2021
"1076 Pape Ave, Toronto, ON, M4K 3W5",43.6909102,-79.34966279999999,2021
"1161 Caledonia Rd, Toronto, ON, M6A 2W9",43.7156521,-79.4666149,2021
"1229 Ellesmere Rd, Toronto, ON, M1P 4V8",43.76828219999999,-79.2674466,2021
"126 Pape Ave, Toronto, ON, M4M 2V8",43.66282229999999,-79.33854560000002,2021
"129 Peter St, Toronto, ON, M5V 2H3",43.6487063,-79.3931334,2021
"135 Sherbourne St, Toronto, ON, M5A 2R5",43.65529189999999,-79.3690019,2021
"14 Roncesvalles Ave, Toronto, ON, M6R 2K3",43.6391128,-79.4465075,2021
"14 Vaughan Rd, Toronto, ON, M6G 2N1",43.681428,-79.4183468,2021
"165 Grange Ave, Toronto, ON, M5T 2V5",43.6509088,-79.4013362,2021
"1651 Sheppard Ave W, Toronto, ON, M3M 2X4",43.74063719999999,-79.49416029999999,2021
"1677 Wilson Ave, North York, ON, M3L 1A5",43.718533,-79.5145757,2021
"1684 Queen St E, Toronto, ON, M4L 1G6",43.6673724,-79.3135118,2021
"185 Yorkland Blvd, North York, ON, M2J 4R2",43.771263,-79.335442,2021
"189B Booth Ave, Toronto, ON, M4M 2M5",43.6600165,-79.3429848,2021
"191 Spadina Rd, Toronto, ON, M5R 2T9",43.6736075,-79.4063139,2021
"195 Princes' Blvd, Toronto, ON, M6K 3C3",43.6316671,-79.42069479999999,2021
"1A Strachan Ave, Toronto, ON, M6K 3C3",43.6354622,-79.408818,2021
"20 Gerrard St E, Toronto, ON, M5B 2P3",43.65934559999999,-79.3814705,2021
"20 Milner Business Ct, Scarborough, ON, M1B 3M6",43.7878795,-79.2356389,2021
"2035 Kennedy Rd, Scarborough, ON, M1T 3G2",43.7769564,-79.2829241,2021
"21 McGill St, Toronto, ON, M5B 1H3",43.6599801,-79.3813843,2021
"21 Park Rd, Toronto, ON, M4W 2N1",43.6720826,-79.3844397,2021
"21 Walmer Rd, Toronto, ON, M5R 2W7",43.6679227,-79.4054907,2021
"222 Spadina Ave, Toronto, ON, M5T 3B3",43.6507675,-79.39776239999999,2021
"25 Augusta Ave, Toronto, ON, M5T 2K7",43.64897089999999,-79.3996779,2021
"25 Canterbury Pl, Toronto, ON, M3N 0E3",43.7728149,-79.4147563,2021
"257 Dundas St E, Toronto, ON, M5A 1Z8",43.6580221,-79.37209659999999,2021
"26 Gerrard St E, Toronto, ON, M5B 1G3",43.6594865,-79.3810178,2021
"26 Vaughan Rd, Toronto, ON, M6G 2C4",43.6818271,-79.4188119,2021
"2671 Islington Ave, Toronto, ON, M9V 2X6",43.7393109,-79.5658217,2021
"2685 Kingston Rd, Scarborough, ON, M1M 1M4",43.7179321,-79.2404074,2021
"2714 Danforth Ave, Toronto, ON, M4C 1L7",43.6891847,-79.29827139999999,2021
"274 Sackville St, Toronto, ON, M5A 3S7",43.661776,-79.36390569999999,2021
"2808 Dundas St W, Toronto, ON, M6P 1Y5",43.665635,-79.4631838,2021
"291 Sherbourne St, Toronto, ON, M5A 2R9",43.66057139999999,-79.3714147,2021
"295 Sackville St, Toronto, ON, M5A 3G1",43.6618512,-79.3632732,2021
"29A Leslie St, Toronto, ON, M4M 3C3",43.66190400000001,-79.3293515,2021
"30 Norfinch Dr, North York, ON, M3N 1X1",43.756319,-79.5271739,2021
"325 Gerrard St E, Toronto, ON, M5A 2G6",43.661921,-79.365389,2021
"3306 Kingston Rd, Toronto, ON, M1M 1P8",43.7342249,-79.2234829,2021
"335 Jarvis St, Toronto, ON, M5B 2C2",43.6604029,-79.3753751,2021
"339 George St, Toronto, ON, M5A 2N2",43.6595825,-79.3739208,2021
"3410 Bayview Ave, Toronto, ON, M2M 3S3",43.7979694,-79.3954669,2021
"348 Davenport Road, Toronto, ON, M5R 1K6",43.6754118,-79.4013331,2021
"349 George St, Toronto, ON, M5A 2N2",43.6601215,-79.37430669999999,2021
"35 Sydenham St, Toronto, ON, M5A 4H5",43.6567211,-79.3624674,2021
"351 Lake Shore Blvd E, Toronto, ON, M5A 1C1",43.6478428,-79.35934739999999,2021
"354 George St, Scarborough, ON, M5A 2N3",43.6594145,-79.3745325,2021
"354 George St, Toronto, ON, M5A 2N3",43.6594145,-79.3745325,2021
"355 Gerrard St E, Toronto, ON, M5A 2G5",43.6621659,-79.3645073,2021
"3576 St Clair Ave E, Toronto, ON, M1K 1M2",43.717528,-79.2581094,2021
"360 Lesmill Rd, Toronto, ON, M3B 2T5",43.7633532,-79.3609489,2021
"3600 Steeles Ave W, Vaughan, ON, L4L 8P5",43.772108,-79.538326,2021
"38 Bathurst St, Toronto, ON, M5V 3W3",43.6411174,-79.4027393,2021
"386 Dundas St E, Toronto, ON, M5A 2A5",43.65911819999999,-79.3681586,2021
"4117 Lawrence Ave E, Scarborough, ON, M1E 2S2",43.7662585,-79.1935325,2021
"412 Queen St E, Toronto, ON, M5A 1T3",43.6562539,-79.36250249999999,2021
"422 Gilbert Ave, Toronto, ON, M6E 4X3",43.6893746,-79.46237699999999,2021
"4222 Kingston Rd, Toronto, ON, M1E 2M6",43.7609599,-79.1968644,2021
"43 Christie St, Toronto, ON, M6G 3B1",43.665203,-79.4188573,2021
"445 Rexdale Blvd, Etobicoke, ON, M9W 6P8",43.7160751,-79.59378079999999,2021
"45 The Esplanade, Toronto, ON, M5E 1W2",43.6465136,-79.3745725,2021
"4540 Kingston Rd, Toronto, ON, M1E 2N8",43.7722894,-79.1858602,2021
"4584 Kingston Rd, Scarborough, ON, M1E 2P4",43.7746327,-79.1839284,2021
"4674 Kingston Rd, Toronto, ON, M1E 2P9",43.7771153,-79.1736301,2021
"490 Sherbourne St, Toronto, ON, M4X 1K9",43.6676381,-79.3752523,2021
"50 Estate Dr, Scarborough, ON, M1H 2Z1",43.7831074,-79.2356491,2021
"502 Spadina Ave, Toronto, ON, M5S 2H1",43.6586509,-79.4007969,2021
"512 Jarvis St, Toronto, ON, M4Y 2H6",43.6676283,-79.37931329999999,2021
"525 Bloor St E, Toronto, ON, M4W 1J1",43.6717544,-79.373702,2021
"545 Lake Shore Blvd W, Toronto, ON, M5V 1A3",43.6364449,-79.3987569,2021
"55 Hallcrown Pl, North York, ON, M2J 4R1",43.7692973,-79.3221634,2021
"556 Sherbourne St, Toronto, ON, M4X 1L4",43.6700332,-79.37612229999999,2021
"558 Bathurst St, Toronto, ON, M5S 2P9",43.6584807,-79.40883029999999,2021
"56 Yonge St, Toronto, ON, M5E 1G5",43.6480319,-79.37809229999999,2021
"5800 Yonge St, North York, ON, M2M 3T3",43.7842276,-79.4168224,2021
"6 Warrendale Ct, Etobicoke, ON, M9V 1P9",43.7363097,-79.58040369999999,2021
"60 Brant St, Toronto, ON, M5V 3G9",43.647331200000004,-79.3987294,2021
"60 Newcastle St, Toronto, ON, M8Y 1A3",43.6182521,-79.497208,2021
"60 York St, Toronto, ON, M5J 1S8",43.646293,-79.3831526,2021
"616 Vaughan Rd, Toronto, ON, M6C 2R5",43.6918507,-79.4398908,2021
"63 Bellwoods Ave, Toronto, ON, M6J 3M4",43.64800109999999,-79.4113564,2021
"65 Dundas St E, Toronto, ON, M5B 2G8",43.656092,-79.37840949999999,2021
"67 Adelaide St E, Toronto, ON, M5C 1K6",43.6509084,-79.37510879999999,2021
"674 Dundas St W, Toronto, ON, M5H 1H9",43.65197209999999,-79.40368409999999,2021
"69 Fraser Ave, Toronto, ON, M6K 1E9",43.6378666,-79.423853,2021
"7 Vanauley St, Toronto, ON, M5T 2V9",43.6488502,-79.3982647,2021
"70 Denison Ave, Toronto, ON, M5T 2M8",43.6502279,-79.4017715,2021
"70 Gerrard St E, Toronto, ON, M5B 1G6",43.6600489,-79.37831249999999,2021
"702 Kennedy Rd, Toronto, ON, M1K 2B5",43.7279534,-79.26765759999999,2021
"705 Progress Ave, Toronto, ON, M1H 2X1",43.777729,-79.24722299999999,2021
"731 Runnymede Rd, Toronto, ON, M6N 3V7",43.66840089999999,-79.4827373,2021
"747 Warden Ave, Scarborough, ON, M1L 4A1",43.71785269999999,-79.2828583,2021
"76 Church St, Toronto, ON, M5C 2G1",43.6506756,-79.3751353,2021
"77 Ryerson Ave, Toronto, ON, M5T 2V4",43.6500729,-79.4025312,2021
"80 Woodlawn Ave E, Toronto, ON, M4T 1C1",43.6846902,-79.3898478,2021
"805A Wellington St W, Toronto, ON, M5V 1G8",43.6409036,-79.4101805,2021
"808 Mt Pleasant Rd, Toronto, ON, M4P 2L2",43.7088621,-79.39072449999999,2021
"850 Bloor St W, Toronto, ON, M6G 1M2",43.6624214,-79.4242007,2021
"87 Pembroke St, Toronto, ON, M5A 2N9",43.65921900000001,-79.37235129999999,2021
"92 Peter St, Toronto, ON, M5V 2G5",43.64696989999999,-79.3932324,2021
"95 Wellesley St E, Toronto, ON, M4Y 2X9",43.6658254,-79.3792474,2021
"962 Bloor St W, Toronto, ON, M6H 1L6",43.6615816,-79.4288981,2021
"973 Lansdowne Ave, Toronto, ON, M6H 3Z5",43.6661036,-79.4460191,2021
"98 The Esplanade, Toronto, ON, M5E 1A9",43.6478467,-79.3724946,2021
"100 Lippincott St, Toronto, ON, M5S 2P1",43.6576786,-79.40705609999999,2022
"101 Ontario St, Toronto, ON, M5A 2V2",43.6545597,-79.3665735,2022
"101 Placer Ct, Toronto, ON, M2H 3H9",43.8020246,-79.341403,2022
"1059 College Street, Toronto, ON, M6H 1B1",43.652684,-79.4308073,2022
"107 Jarvis St, Toronto, ON, M5C 2H4",43.6523669,-79.3722725,2022
"1076 Pape Ave, Toronto, ON, M4K 3W5",43.6909102,-79.34966279999999,2022
"1161 Caledonia Rd, Toronto, ON, M6A 2W9",43.7156521,-79.4666149,2022
"1229 Ellesmere Rd, Toronto, ON, M1P 4V8",43.76828219999999,-79.2674466,2022
"126 Pape Ave, Toronto, ON, M4M 2V8",43.66282229999999,-79.33854560000002,2022
"129 Peter St, Toronto, ON, M5V 2H3",43.6487063,-79.3931334,2022
"135 Sherbourne St, Toronto, ON, M5A 2R5",43.65529189999999,-79.3690019,2022
"14 Roncesvalles Ave, Toronto, ON, M6R 2K3",43.6391128,-79.4465075,2022
"14 Vaughan Rd, Toronto, ON, M6G 2N1",43.681428,-79.4183468,2022
"165 Grange Ave, Toronto, ON, M5T 2V5",43.6509088,-79.4013362,2022
"1651 Sheppard Ave W, Toronto, ON, M3M 2X4",43.74063719999999,-79.49416029999999,2022
"1677 Wilson Ave, North York, ON, M3L 1A5",43.718533,-79.5145757,2022
"1684 Queen St E, Toronto, ON, M4L 1G6",43.6673724,-79.3135118,2022
"185 Yorkland Blvd, North York, ON, M2J 4R2",43.771263,-79.335442,2022
"189B Booth Ave, Toronto, ON, M4M 2M5",43.6600165,-79.3429848,2022
"191 Spadina Rd, Toronto, ON, M5R 2T9",43.6736075,-79.4063139,2022
"195 Princes' Blvd, Toronto, ON, M6K 3C3",43.6316671,-79.42069479999999,2022
"1A Strachan Ave, Toronto, ON, M6K 3C3",43.6354622,-79.408818,2022
"20 Gerrard St E, Toronto, ON, M5B 2P3",43.65934559999999,-79.3814705,2022
"20 Milner Business Ct, Scarborough, ON, M1B 3M6",43.7878795,-79.2356389,2022
"2035 Kennedy Rd, Scarborough, ON, M1T 3G2",43.7769564,-79.2829241,2022
"21 McGill St, Toronto, ON, M5B 1H3",43.6599801,-79.3813843,2022
"21 Park Rd, Toronto, ON, M4W 2N1",43.6720826,-79.3844397,2022
"21 Walmer Rd, Toronto, ON, M5R 2W7",43.6679227,-79.4054907,2022
"22 Metropolitan Rd, Toronto, ON, M1R 2T5",43.767469,-79.30207899999999,2022
"220 Cowan Ave, Toronto, ON, M6K 2N6",43.6407414,-79.4330559,2022
"25 Augusta Ave, Toronto, ON, M5T 2K7",43.64897089999999,-79.3996779,2022
"25 Mendelssohn St, Scarborough, ON, M1L 0G8",43.7146728,-79.28057299999999,2022
"257 Dundas St E, Toronto, ON, M5A 1Z8",43.6580221,-79.37209659999999,2022
"26 Gerrard St E, Toronto, ON, M5B 1G3",43.6594865,-79.3810178,2022
"26 Vaughan Rd, Toronto, ON, M6G 2C4",43.6818271,-79.4188119,2022
"2671 Islington Ave, Toronto, ON, M9V 2X6",43.7393109,-79.5658217,2022
"2714 Danforth Ave, Toronto, ON, M4C 1L7",43.6891847,-79.29827139999999,2022
"2808 Dundas St W, Toronto, ON, M6P 1Y5",43.665635,-79.4631838,2022
"291 Sherbourne St, Toronto, ON, M5A 2R9",43.66057139999999,-79.3714147,2022
"29A Leslie St, Toronto, ON, M4M 3C3",43.66190400000001,-79.3293515,2022
"30 Norfinch Dr, North York, ON, M3N 1X1",43.756319,-79.5271739,2022
"3306 Kingston Rd, Toronto, ON, M1M 1P8",43.7342249,-79.2234829,2022
"335 Jarvis St, Toronto, ON, M5B 2C2",43.6604029,-79.3753751,2022
"339 George St, Toronto, ON, M5A 2N2",43.6595825,-79.3739208,2022
"3410 Bayview Ave, Toronto, ON, M2M 3S3",43.7979694,-79.3954669,2022
"346 Spadina Ave., Toronto, ON, M5T 1J5",43.6541824,-79.3989362,2022
"348 Davenport Road, Toronto, ON, M5R 1K6",43.6754118,-79.4013331,2022
"349 George St, Toronto, ON, M5A 2N2",43.6601215,-79.37430669999999,2022
"35 Sydenham St, Toronto, ON, M5A 4H5",43.6567211,-79.3624674,2022
"351 Lake Shore Blvd E, Toronto, ON, M5A 1C1",43.6478428,-79.35934739999999,2022
"354 George St, Scarborough, ON, M5A 2N3",43.6594145,-79.3745325,2022
"3576 St Clair Ave E, Toronto, ON, M1K 1M2",43.717528,-79.2581094,2022
"360 Lesmill Rd, Toronto, ON, M3B 2T5",43.7633532,-79.3609489,2022
"3600 Steeles Ave W, Vaughan, ON, L4L 8P5",43.772108,-79.538326,2022
"38 Bathurst St, Toronto, ON, M5V 3W3",43.6411174,-79.4027393,2022
"386 Dundas St E, Toronto, ON, M5A 2A5",43.65911819999999,-79.3681586,2022
"4117 Lawrence Ave E, Scarborough, ON, M1E 2S2",43.7662585,-79.1935325,2022
"412 Queen St E, Toronto, ON, M5A 1T3",43.6562539,-79.36250249999999,2022
"422 Gilbert Ave, Toronto, ON, M6E 4X3",43.6893746,-79.46237699999999,2022
"4222 Kingston Rd, Toronto, ON, M1E 2M6",43.7609599,-79.1968644,2022
"43 Christie St, Toronto, ON, M6G 3B1",43.665203,-79.4188573,2022
"445 Rexdale Blvd, Etobicoke, ON, M9W 6P8",43.7160751,-79.59378079999999,2022
"45 The Esplanade, Toronto, ON, M5E 1W2",43.6465136,-79.3745725,2022
"4540 Kingston Rd, Toronto, ON, M1E 2N8",43.7722894,-79.1858602,2022
"4584 Kingston Rd, Scarborough, ON, M1E 2P4",43.7746327,-79.1839284,2022
"4674 Kingston Rd, Toronto, ON, M1E 2P9",43.7771153,-79.1736301,2022
"490 Sherbourne St, Toronto, ON, M4X 1K9",43.6676381,-79.3752523,2022
"50 Estate Dr, Scarborough, ON, M1H 2Z1",43.7831074,-79.2356491,2022
"512 Jarvis St, Toronto, ON, M4Y 2H6",43.6676283,-79.37931329999999,2022
"545 Lake Shore Blvd W, Toronto, ON, M5V 1A3",43.6364449,-79.3987569,2022
"55 Hallcrown Pl, North York, ON, M2J 4R1",43.7692973,-79.3221634,2022
"55 John St, Toronto, ON, M5V 3C6",43.6460888,-79.388966,2022
"556 Sherbourne St, Toronto, ON, M4X 1L4",43.6700332,-79.37612229999999,2022
"558 Bathurst St, Toronto, ON, M5S 2P9",43.6584807,-79.40883029999999,2022
"56 Yonge St, Toronto, ON, M5E 1G5",43.6480319,-79.37809229999999,2022
"5800 Yonge St, North York, ON, M2M 3T3",43.7842276,-79.4168224,2022
"6 Warrendale Ct, Etobicoke, ON, M9V 1P9",43.7363097,-79.58040369999999,2022
"60 Brant St, Toronto, ON, M5V 3G9",43.647331200000004,-79.3987294,2022
"60 Newcastle St, Toronto, ON, M8Y 1A3",43.6182521,-79.497208,2022
"60 York St, Toronto, ON, M5J 1S8",43.646293,-79.3831526,2022
"616 Vaughan Rd, Toronto, ON, M6C 2R5",43.6918507,-79.4398908,2022
"640 Dixon Rd., Toronto, ON, M9W 1J1",43.6921903,-79.576591,2022
"65 Dundas St E, Toronto, ON, M5B 2G8",43.656092,-79.37840949999999,2022
"66 Norfinch Dr, North York, ON, M3N 1X1",43.7572275,-79.52917699999999,2022
"67 Adelaide St E, Toronto, ON, M5C 1K6",43.6509084,-79.37510879999999,2022
"674 Dundas St W, Toronto, ON, M5H 1H9",43.65197209999999,-79.40368409999999,2022
"69 Fraser Ave, Toronto, ON, M6K 1E9",43.6378666,-79.423853,2022
"7 Vanauley St, Toronto, ON, M5T 2V9",43.6488502,-79.3982647,2022
"70 Denison Ave, Toronto, ON, M5T 2M8",43.6502279,-79.4017715,2022
"70 Gerrard St E, Toronto, ON, M5B 1G6",43.6600489,-79.37831249999999,2022
"702 Kennedy Rd, Toronto, ON, M1K 2B5",43.7279534,-79.26765759999999,2022
"705 Progress Ave, Toronto, ON, M1H 2X1",43.777729,-79.24722299999999,2022
"731 Runnymede Rd, Toronto, ON, M6N 3V7",43.66840089999999,-79.4827373,2022
"747 Warden Ave, Scarborough, ON, M1L 4A1",43.71785269999999,-79.2828583,2022
"76 Church St, Toronto, ON, M5C 2G1",43.6506756,-79.3751353,2022
"77 Ryerson Ave, Toronto, ON, M5T 2V4",43.6500729,-79.4025312,2022
"80 Woodlawn Ave E, Toronto, ON, M4T 1C1",43.6846902,-79.3898478,2022
"805A Wellington St W, Toronto, ON, M5V 1G8",43.6409036,-79.4101805,2022
"808 Mt Pleasant Rd, Toronto, ON, M4P 2L2",43.7088621,-79.39072449999999,2022
"850 Bloor St W, Toronto, ON, M6G 1M2",43.6624214,-79.4242007,2022
"87 Pembroke St, Toronto, ON, M5A 2N9",43.65921900000001,-79.37235129999999,2022
"89 Church Ave., Toronto, ON, M2N 6C9",43.774732,-79.4086201,2022
